Gender,Age,Height(cm),Weight(kg),Body_Fat(%),Fitness_Level,Weekly_Training,Training_Type,Supplement,Supplement_Type,Usage_Period(weeks),Usage_Frequency(times/week),Diet_Type,Weight_Change(kg),Body_Fat_Change(%),Performance_Improvement(%),Satisfaction(1-10)
Male,Under_25,170-180,61,17,Beginner,More_than_5,HIIT,Creatine,HCL,5,1,Regular,2.7,-0.3,8.1,10
Female,Under_25,180-190,80,18,Beginner,3-5_times,HIIT,Creatine,Monohydrate,7,1,Regular,1.6,-0.1,7,10
Male,25-35,160-170,73,23,Intermediate,More_than_5,Endurance,Creatine,Monohydrate,5,6,Regular,1.6,-0.2,11.5,10
Male,Under_25,170-180,72,21,Intermediate,3-5_times,Strength_Training,BCAA,Whey_Based,3,5,High_Protein,0.6,-0.2,4.6,8
Female,25-35,180-190,78,27,Intermediate,3-5_times,HIIT,Whey_Protein,Concentrate,3,1,High_Protein,2.4,-1.6,6.1,10
Male,Under_25,170-180,83,18,Beginner,3-5_times,Endurance,Pre_Workout,Regular,6,7,Regular,-0.2,-0.2,8.8,10
Female,Under_25,170-180,63,23,Beginner,More_than_5,Flexibility,Creatine,HCL,4,4,Regular,2.8,0.1,5,9.2
Female,25-35,170-180,75,31,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,5,7,Regular,4.7,-1.2,5.5,10
Male,25-35,170-180,65,26,Intermediate,Less_than_3,HIIT,Whey_Protein,Concentrate,3,3,Regular,1.5,-1.3,3.1,9.8
Male,Under_25,160-170,67,12,Advanced,More_than_5,Strength_Training,Whey_Protein,Hydrolyzed,6,6,High_Protein,9.7,-2,15.7,10
Male,Over_35,170-180,78,24,Advanced,3-5_times,Strength_Training,Whey_Protein,Concentrate,4,2,Regular,7.9,-1.8,8.1,10
Male,25-35,150-160,63,22,Intermediate,More_than_5,Endurance,Multivitamin,Standard,3,5,High_Protein,-0.1,-0.2,7.5,8.1
Male,Under_25,150-160,45,21,Beginner,Less_than_3,Strength_Training,Multivitamin,Standard,3,6,Vegan,-0.1,0.1,1.5,5.9
Male,25-35,170-180,60,18,Advanced,3-5_times,Strength_Training,BCAA,Vegan,3,6,High_Protein,1,-0.4,7.1,10
Male,25-35,170-180,77,20,Beginner,3-5_times,Strength_Training,Whey_Protein,Isolate,8,2,High_Protein,4.1,-1.1,5.7,10
Female,Under_25,170-180,72,18,Advanced,3-5_times,Strength_Training,Energy_Drink,Sugar_Free,3,6,Regular,0.4,0,7.1,8.9
Female,25-35,170-180,67,30,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,6,1,Low_Carb,3.4,0,7.8,10
Male,Over_35,170-180,78,29,Intermediate,Less_than_3,HIIT,Pre_Workout,Regular,6,1,Low_Carb,0,-0.1,9.5,10
Male,Under_25,150-160,61,14,Beginner,3-5_times,Endurance,Whey_Protein,Isolate,7,1,High_Protein,1.8,-0.7,4.4,10
Male,25-35,180-190,78,18,Intermediate,3-5_times,HIIT,L_Carnitine,Liquid,3,3,High_Protein,-0.3,-5,7.7,10
Male,Over_35,180-190,79,22,Intermediate,3-5_times,Endurance,Creatine,Monohydrate,8,3,Regular,1.3,-0.2,8.4,10
Male,25-35,170-180,76,25,Beginner,3-5_times,Endurance,Multivitamin,Standard,4,2,Regular,-0.4,-0.4,3.3,6.4
Female,Over_35,170-180,67,22,Intermediate,Less_than_3,HIIT,Creatine,Monohydrate,6,3,Regular,0.6,-0.4,6.7,9.8
Female,Under_25,Above_190,103,20,Beginner,Less_than_3,Flexibility,Whey_Protein,Concentrate,3,4,High_Protein,1.5,-0.3,1.7,9
Male,25-35,Above_190,98,17,Beginner,3-5_times,HIIT,Whey_Protein,Isolate,7,3,Regular,1.3,-1.5,4.3,9.4
Male,25-35,170-180,80,21,Intermediate,3-5_times,Endurance,Whey_Protein,Isolate,7,2,Regular,1.1,-0.8,4.4,9.9
Male,25-35,160-170,73,22,Beginner,3-5_times,Endurance,Multivitamin,Standard,7,7,Regular,-0.4,-0.3,3,6.1
Male,Over_35,170-180,66,22,Beginner,More_than_5,Strength_Training,BCAA,Whey_Based,8,5,Low_Carb,0.5,-0.2,4.6,9.3
Female,Under_25,160-170,54,29,Beginner,Less_than_3,Flexibility,Whey_Protein,Concentrate,3,2,Regular,0.9,-0.5,1.3,7.5
Female,Under_25,160-170,68,21,Beginner,3-5_times,Strength_Training,Fish_Oil,Deep_Sea,6,7,Low_Carb,0.2,-0.4,0.5,6.5
Male,Over_35,150-160,49,21,Beginner,3-5_times,HIIT,BCAA,Whey_Based,5,1,Regular,0.2,-0.5,4.5,9.4
Male,Under_25,180-190,75,24,Beginner,More_than_5,HIIT,Whey_Protein,Isolate,3,7,Regular,0.8,-1.7,4.1,9.8
Male,25-35,170-180,66,24,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar_Free,7,7,Regular,0.4,0.2,3.4,7.8
Female,25-35,Above_190,101,22,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar,3,5,Low_Carb,0.1,0,2.9,7
Male,25-35,160-170,51,21,Beginner,More_than_5,Endurance,Whey_Protein,Isolate,6,3,Regular,1.5,-0.6,4.3,8.6
Male,Under_25,170-180,64,18,Beginner,3-5_times,HIIT,Creatine,HCL,4,2,Regular,1.3,-0.2,7.3,10
Female,25-35,170-180,71,27,Intermediate,3-5_times,Strength_Training,BCAA,Whey_Based,7,2,High_Protein,0.8,-0.4,5.6,8.2
Male,25-35,170-180,60,27,Intermediate,More_than_5,Strength_Training,Creatine,Monohydrate,6,4,High_Protein,10.4,0,14.8,10
Male,Under_25,170-180,76,18,Intermediate,3-5_times,HIIT,Whey_Protein,Isolate,6,1,Regular,1.8,-1.9,4.4,10
Female,25-35,170-180,66,23,Advanced,3-5_times,Flexibility,Creatine,HCL,6,7,High_Protein,3.3,-0.1,7.2,10
Female,25-35,170-180,70,24,Beginner,More_than_5,Strength_Training,Pre_Workout,Regular,7,7,Low_Carb,-0.1,-0.1,9.9,10
Male,25-35,170-180,60,26,Beginner,More_than_5,HIIT,Energy_Drink,Sugar_Free,8,7,Low_Carb,-0.3,-0.2,4.9,8.7
Male,Under_25,160-170,54,20,Intermediate,Less_than_3,Endurance,L_Carnitine,Capsule,7,5,Regular,-0.3,-3.1,4.7,10
Male,Under_25,160-170,73,18,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,3,4,Low_Carb,3.6,-1.3,5.9,10
Male,Under_25,160-170,61,19,Intermediate,Less_than_3,Strength_Training,Energy_Drink,Sugar,3,7,High_Protein,0.2,0,3.8,7.9
Female,Over_35,160-170,63,32,Intermediate,3-5_times,HIIT,Fish_Oil,Deep_Sea,7,2,Regular,-0.3,-1.5,2.6,8.7
Male,Under_25,160-170,51,20,Intermediate,More_than_5,Strength_Training,L_Carnitine,Liquid,7,2,High_Protein,0.4,-2.6,5.1,9
Female,Over_35,170-180,78,28,Advanced,More_than_5,Strength_Training,Energy_Drink,Sugar_Free,7,1,High_Protein,-0.1,0.1,8.8,10
Female,Under_25,160-170,64,23,Intermediate,More_than_5,Flexibility,Whey_Protein,Hydrolyzed,8,6,Low_Carb,2.4,-0.8,3.6,9.2
Male,25-35,150-160,57,20,Beginner,3-5_times,Flexibility,L_Carnitine,Capsule,7,5,Regular,0.3,-1.6,1.6,8.9
Male,Under_25,170-180,72,20,Intermediate,More_than_5,Flexibility,Creatine,HCL,3,2,High_Protein,4.2,-0.1,5.2,10
Female,Under_25,180-190,91,22,Advanced,Less_than_3,Endurance,Whey_Protein,Isolate,6,6,Regular,0.7,-0.9,4.3,10
Female,Under_25,180-190,90,29,Advanced,3-5_times,Strength_Training,Whey_Protein,Hydrolyzed,5,2,High_Protein,7.9,-2.2,9.4,10
Female,25-35,170-180,84,31,Beginner,3-5_times,Strength_Training,Whey_Protein,Isolate,7,1,Regular,2.6,-1.3,4.3,10
Female,25-35,Above_190,95,21,Intermediate,3-5_times,Flexibility,Creatine,Monohydrate,3,2,Regular,3.5,0.1,5.8,10
Male,Under_25,180-190,74,17,Intermediate,Less_than_3,Flexibility,BCAA,Whey_Based,6,5,Regular,-0.1,-0.3,0.9,7.2
Male,25-35,170-180,79,24,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,3,5,Regular,3.4,-1.6,5.9,10
Male,Under_25,170-180,70,13,Intermediate,3-5_times,Strength_Training,BCAA,Vegan,5,7,High_Protein,0.8,-0.1,5.4,9.1
Male,25-35,170-180,64,24,Beginner,Less_than_3,Strength_Training,BCAA,Whey_Based,7,1,Regular,0.3,-0.2,2.3,8.5
Male,25-35,150-160,62,24,Advanced,Less_than_3,Strength_Training,Fish_Oil,Deep_Sea,8,6,Regular,-0.1,-0.7,0.6,8
Female,25-35,160-170,69,30,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,5,7,High_Protein,5.4,-1.5,7,10
Male,25-35,160-170,59,22,Intermediate,Less_than_3,Endurance,Creatine,Monohydrate,7,1,Regular,1.4,-0.2,7.8,10
Male,Under_25,170-180,82,23,Intermediate,3-5_times,Strength_Training,Pre_Workout,Regular,3,5,High_Protein,0.2,-0.1,12.5,10
Male,Over_35,160-170,67,28,Intermediate,Less_than_3,Endurance,Pre_Workout,Regular,4,7,Low_Carb,0,-0.1,7.2,10
Male,Under_25,170-180,64,12,Beginner,3-5_times,HIIT,Energy_Drink,Sugar,5,4,Regular,-0.1,-0.1,4.1,7.7
Female,25-35,170-180,77,22,Intermediate,3-5_times,Strength_Training,Multivitamin,Standard,3,2,High_Protein,0.5,0,4.2,8.3
Male,25-35,180-190,82,19,Intermediate,More_than_5,Endurance,Pre_Workout,Regular,5,2,High_Protein,-0.5,-0.2,16,10
Male,25-35,150-160,52,20,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,4,7,Regular,5.2,0,11,10
Female,Under_25,Above_190,90,21,Beginner,3-5_times,HIIT,Whey_Protein,Concentrate,4,1,Low_Carb,1.2,-1.2,4.5,9.9
Female,Under_25,160-170,69,24,Intermediate,3-5_times,Flexibility,Whey_Protein,Hydrolyzed,6,1,Regular,2.1,-0.4,2.6,8.6
Male,Over_35,180-190,74,23,Intermediate,Less_than_3,Strength_Training,Creatine,Monohydrate,6,5,Regular,4.5,0,7.6,10
Male,Over_35,170-180,71,20,Advanced,3-5_times,Flexibility,Creatine,Monohydrate,8,4,Regular,4.5,-0.1,5.8,10
Female,Under_25,170-180,73,27,Beginner,3-5_times,HIIT,BCAA,Whey_Based,5,1,Regular,-0.2,-0.3,3.8,8.3
Female,25-35,180-190,73,20,Beginner,3-5_times,Flexibility,Multivitamin,Standard,5,4,Low_Carb,0.1,-0.1,1,6.6
Male,Over_35,170-180,81,27,Beginner,Less_than_3,Endurance,Creatine,Monohydrate,7,7,Regular,0.7,-0.1,1.6,9.8
Male,Under_25,170-180,62,14,Intermediate,Less_than_3,Endurance,Whey_Protein,Isolate,5,3,Low_Carb,0.8,-0.5,2.6,9.5
Male,25-35,170-180,80,25,Intermediate,3-5_times,HIIT,Whey_Protein,Concentrate,7,5,Regular,1,-1.8,5.2,10
Male,Over_35,160-170,55,24,Intermediate,More_than_5,HIIT,Whey_Protein,Hydrolyzed,8,2,Regular,2.7,-2.2,6.6,10
Male,25-35,180-190,74,20,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar,7,1,High_Protein,0.1,-0.1,4.3,8.4
Male,Under_25,170-180,70,15,Intermediate,More_than_5,HIIT,Multivitamin,Standard,7,3,Regular,-0.4,-0.2,3.9,6.3
Male,Under_25,170-180,76,14,Beginner,3-5_times,Endurance,Whey_Protein,Isolate,8,1,Regular,1.8,-1,4.1,9.9
Male,Under_25,170-180,78,18,Beginner,More_than_5,Strength_Training,Creatine,HCL,3,6,Regular,5.7,0.1,11,10
Male,25-35,150-160,49,19,Advanced,3-5_times,Strength_Training,Whey_Protein,Hydrolyzed,6,1,Regular,6.1,-2.3,9.6,10
Male,Under_25,180-190,79,23,Intermediate,Less_than_3,Flexibility,Creatine,HCL,3,1,Regular,2.4,0.1,1.6,8.1
Male,25-35,Above_190,98,23,Intermediate,3-5_times,Strength_Training,Pre_Workout,Regular,7,5,Vegan,0,0.2,12.9,10
Male,25-35,170-180,75,19,Intermediate,Less_than_3,HIIT,Pre_Workout,Regular,3,2,High_Protein,-0.6,-0.3,8.7,10
Male,Under_25,170-180,83,20,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,8,2,High_Protein,8.1,-0.1,14.4,10
Male,25-35,180-190,76,27,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,8,4,Regular,4.1,-2.4,6.7,10
Female,25-35,170-180,75,23,Beginner,3-5_times,Endurance,Creatine,Monohydrate,7,2,Regular,0.5,-0.2,5.3,9.9
Male,Under_25,160-170,68,21,Intermediate,Less_than_3,HIIT,Energy_Drink,Sugar,5,3,High_Protein,-0.6,-0.1,5.3,8.1
Male,25-35,160-170,69,20,Intermediate,Less_than_3,HIIT,Pre_Workout,Caffeine_Free,3,5,High_Protein,-0.4,-0.2,10.7,10
Male,25-35,160-170,58,15,Advanced,3-5_times,Flexibility,L_Carnitine,Liquid,4,3,High_Protein,0.4,-2.6,5.7,10
Female,Under_25,160-170,61,19,Beginner,Less_than_3,HIIT,Whey_Protein,Isolate,6,6,Regular,1,-0.8,3.2,10
Male,Under_25,160-170,66,16,Intermediate,More_than_5,HIIT,L_Carnitine,Capsule,6,6,High_Protein,-0.2,-6.5,9.1,10
Male,25-35,180-190,79,16,Intermediate,Less_than_3,Strength_Training,Whey_Protein,Isolate,6,5,Low_Carb,2.7,-1,3.8,9.8
Male,25-35,Above_190,87,23,Intermediate,3-5_times,HIIT,L_Carnitine,Capsule,4,4,High_Protein,-0.2,-4.7,9.1,10
Female,Under_25,180-190,85,22,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,5,7,High_Protein,4.5,-0.1,10.4,10
Male,Under_25,160-170,63,12,Beginner,More_than_5,Endurance,Fish_Oil,Deep_Sea,5,5,Regular,-0.2,-1.3,2.4,8.1
Male,25-35,150-160,51,18,Beginner,3-5_times,Strength_Training,Pre_Workout,Regular,3,1,High_Protein,0.3,0,9.3,10
Female,25-35,160-170,69,27,Beginner,3-5_times,Strength_Training,BCAA,Whey_Based,4,6,Vegan,0.4,-0.3,3.3,8
Female,Over_35,160-170,58,28,Intermediate,3-5_times,HIIT,Fish_Oil,Deep_Sea,7,4,Low_Carb,0,-1.1,2.5,8.7
Female,Under_25,180-190,79,29,Beginner,More_than_5,Strength_Training,Whey_Protein,Concentrate,3,1,Regular,4.3,-1.6,5.8,10
Female,Under_25,160-170,52,25,Beginner,More_than_5,Strength_Training,BCAA,Whey_Based,8,1,Vegan,0.6,-0.5,4.2,7.9
Male,25-35,180-190,75,21,Beginner,More_than_5,HIIT,Whey_Protein,Isolate,3,5,Regular,0.8,-1.5,5.1,9.9
Male,Under_25,180-190,80,21,Intermediate,Less_than_3,Endurance,Whey_Protein,Isolate,5,1,Regular,1.6,-1.1,3.9,9.7
Female,Under_25,160-170,71,20,Intermediate,Less_than_3,Endurance,Multivitamin,Sport_Enhanced,7,3,Regular,-0.1,-0.2,3,7.3
Female,25-35,170-180,60,20,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,7,3,Regular,2.7,-1.1,3.4,10
Male,25-35,160-170,59,16,Beginner,More_than_5,Strength_Training,Creatine,Monohydrate,3,6,Low_Carb,4.1,0,12.2,10
Female,25-35,160-170,72,21,Beginner,3-5_times,HIIT,Whey_Protein,Concentrate,7,5,Regular,0,-0.8,5,9
Male,25-35,180-190,80,24,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar_Free,6,7,High_Protein,0.3,-0.1,3.8,8
Male,Under_25,170-180,66,16,Intermediate,Less_than_3,Strength_Training,BCAA,Whey_Based,4,2,Low_Carb,0.3,-0.2,3.8,8.6
Female,Under_25,170-180,64,20,Intermediate,Less_than_3,Flexibility,BCAA,Whey_Based,6,1,Regular,0.3,-0.2,1.2,7.5
Female,Under_25,170-180,63,24,Intermediate,Less_than_3,Strength_Training,Energy_Drink,Sugar_Free,3,3,Regular,0.4,0,3.8,7.7
Male,Under_25,180-190,86,14,Intermediate,3-5_times,Strength_Training,Creatine,HCL,5,4,Regular,4.5,-0.1,12.4,10
Female,Under_25,170-180,61,26,Intermediate,More_than_5,Strength_Training,Whey_Protein,Concentrate,8,2,Low_Carb,5,-1.8,10.5,10
Male,Over_35,180-190,81,25,Intermediate,3-5_times,HIIT,BCAA,Whey_Based,7,4,High_Protein,-0.3,-0.8,6.4,10
Male,Under_25,180-190,93,23,Advanced,Less_than_3,Endurance,Whey_Protein,Concentrate,3,7,High_Protein,1.5,-0.7,4.4,9.7
Male,25-35,160-170,51,27,Advanced,3-5_times,Strength_Training,Whey_Protein,Concentrate,8,4,High_Protein,6.9,-1.6,10.2,10
Female,Under_25,150-160,56,24,Beginner,3-5_times,Flexibility,Energy_Drink,Sugar_Free,4,7,High_Protein,0.1,0,2.1,8.4
Male,25-35,150-160,49,27,Beginner,More_than_5,Strength_Training,Creatine,Monohydrate,5,7,Regular,5.5,0,9.3,10
Male,25-35,170-180,60,26,Intermediate,3-5_times,Endurance,Creatine,HCL,7,1,Low_Carb,1.1,-0.1,7.7,10
Male,25-35,160-170,50,21,Advanced,3-5_times,HIIT,Whey_Protein,Concentrate,8,6,High_Protein,3.1,-2.2,7.2,10
Male,25-35,170-180,68,17,Intermediate,3-5_times,Strength_Training,BCAA,Whey_Based,5,2,Regular,0.6,-0.4,6.6,10
Male,25-35,170-180,79,18,Intermediate,3-5_times,Endurance,Energy_Drink,Sugar,7,2,High_Protein,-0.5,-0.1,3.1,8.7
Female,Under_25,160-170,74,18,Advanced,More_than_5,Strength_Training,Multivitamin,Standard,6,6,Regular,0.1,0.1,4.2,6.7
Male,Under_25,150-160,48,16,Beginner,More_than_5,Strength_Training,Creatine,Monohydrate,7,6,High_Protein,5.4,0.2,10,10
Male,Under_25,160-170,59,19,Advanced,More_than_5,Strength_Training,Creatine,Monohydrate,4,4,Regular,9.3,0.2,21.9,10
Male,Under_25,180-190,73,13,Beginner,Less_than_3,HIIT,Fish_Oil,Deep_Sea,7,4,Low_Carb,-0.2,-0.6,1,8.1
Female,Under_25,170-180,62,19,Advanced,3-5_times,Endurance,Whey_Protein,Isolate,3,2,High_Protein,2.3,-1.3,8.3,10
